t,b,g,r,helper,counter
73.74033333333333,60,43,9,"9,43,60",7
73.82374999999999,60,43,9,"9,43,60",8
73.90716666666665,60,43,9,"9,43,60",9
73.99058333333333,60,43,9,"9,43,60",10
74.074,60,43,9,"9,43,60",11
74.15741666666666,60,43,9,"9,43,60",12
74.24083333333333,60,43,9,"9,43,60",13
74.32424999999999,60,43,9,"9,43,60",14
74.40766666666666,60,43,9,"9,43,60",15
74.49108333333332,60,43,9,"9,43,60",16
74.5745,60,43,9,"9,43,60",17
74.65791666666667,60,43,9,"9,43,60",18
74.74133333333333,60,43,9,"9,43,60",19
74.82475,40,26,13,"13,26,40",1
74.90816666666666,13,13,11,"11,13,13",1
74.99158333333332,0,0,0,"0,0,0",1
75.07499999999999,0,0,0,"0,0,0",2
75.15841666666667,25,23,89,"89,23,25",1
75.24183333333333,25,23,89,"89,23,25",2
75.32525,25,23,89,"89,23,25",3
75.40866666666666,25,23,89,"89,23,25",4
75.49208333333333,31,31,106,"106,31,31",1
75.57549999999999,31,31,106,"106,31,31",2
75.65891666666666,21,24,30,"30,24,21",1
75.74233333333333,31,31,106,"106,31,31",1
75.82575,20,17,56,"56,17,20",1
75.90916666666666,31,31,106,"106,31,31",1
75.99258333333333,20,17,56,"56,17,20",1
76.076,20,17,56,"56,17,20",2
76.15941666666666,20,17,56,"56,17,20",3
76.24283333333332,20,17,56,"56,17,20",4
76.32624999999999,25,23,89,"89,23,25",1
76.40966666666667,25,23,89,"89,23,25",2
76.49308333333333,25,23,89,"89,23,25",3
76.5765,31,31,106,"106,31,31",1
76.65991666666666,31,31,106,"106,31,31",2
76.74333333333333,31,31,106,"106,31,31",3
76.82674999999999,20,17,56,"56,17,20",1
76.91016666666665,20,17,56,"56,17,20",2
76.99358333333333,20,17,56,"56,17,20",3
77.077,20,17,56,"56,17,20",4
77.16041666666666,20,17,56,"56,17,20",5
77.24383333333333,31,31,106,"106,31,31",1
77.32724999999999,31,31,106,"106,31,31",2
77.41066666666666,21,24,30,"30,24,21",1
77.49408333333332,20,17,56,"56,17,20",1
77.5775,21,24,30,"30,24,21",1
77.66091666666667,13,13,11,"11,13,13",1
77.74433333333333,13,13,11,"11,13,13",2
77.82775,13,13,11,"11,13,13",3
77.91116666666666,13,13,11,"11,13,13",4
77.99458333333332,13,13,11,"11,13,13",5
78.07799999999999,13,13,11,"11,13,13",6
78.16141666666667,13,13,11,"11,13,13",7
78.24483333333333,13,13,11,"11,13,13",8
78.32825,0,0,0,"0,0,0",1
78.41166666666666,0,0,0,"0,0,0",2
78.49508333333333,0,0,0,"0,0,0",3
78.57849999999999,0,0,0,"0,0,0",4
78.66191666666666,0,0,0,"0,0,0",5
78.74533333333333,0,0,0,"0,0,0",6
78.82875,0,0,0,"0,0,0",7
78.91216666666666,13,13,11,"11,13,13",1
78.99558333333333,13,13,11,"11,13,13",2
79.079,13,13,11,"11,13,13",3
79.16241666666666,21,24,30,"30,24,21",1
79.24583333333332,21,24,30,"30,24,21",2
79.32924999999999,44,66,85,"85,66,44",1
79.41266666666667,44,66,85,"85,66,44",2
79.49608333333333,54,82,115,"115,82,54",1
79.5795,54,82,115,"115,82,54",2
79.66291666666666,54,82,115,"115,82,54",3
79.74633333333333,54,82,115,"115,82,54",4
79.82974999999999,54,82,115,"115,82,54",5
79.91316666666665,54,82,115,"115,82,54",6
79.99658333333333,54,82,115,"115,82,54",7
80.08,54,82,115,"115,82,54",8
80.16341666666666,54,82,115,"115,82,54",9
80.24683333333333,54,82,115,"115,82,54",10
80.33024999999999,54,82,115,"115,82,54",11
80.41366666666666,54,82,115,"115,82,54",12
80.49708333333332,27,38,47,"47,38,27",1
80.5805,27,38,47,"47,38,27",2
80.66391666666667,27,38,47,"47,38,27",3
80.74733333333333,13,13,11,"11,13,13",1
80.83075,13,13,11,"11,13,13",2
80.91416666666666,13,13,11,"11,13,13",3
80.99758333333332,13,13,11,"11,13,13",4
81.08099999999999,13,13,11,"11,13,13",5
81.16441666666667,13,13,11,"11,13,13",6
81.24783333333333,13,13,11,"11,13,13",7
81.33125,13,13,11,"11,13,13",8
81.41466666666666,13,13,11,"11,13,13",9
81.49808333333333,0,0,0,"0,0,0",1
81.58149999999999,0,0,0,"0,0,0",2
81.66491666666666,40,26,13,"13,26,40",1
81.74833333333332,40,26,13,"13,26,40",2
81.83175,40,26,13,"13,26,40",3
81.91516666666666,40,26,13,"13,26,40",4
81.99858333333333,40,26,13,"13,26,40",5
82.082,40,26,13,"13,26,40",6
82.16541666666666,40,26,13,"13,26,40",7
82.24883333333332,40,26,13,"13,26,40",8
82.33224999999999,95,45,7,"7,45,95",1
82.41566666666667,208,195,69,"69,195,208",1
82.49908333333333,132,67,11,"11,67,132",1
82.5825,40,26,13,"13,26,40",1
82.66591666666666,60,43,9,"9,43,60",1
82.74933333333333,60,43,9,"9,43,60",2
82.83274999999999,95,45,7,"7,45,95",1
82.91616666666665,40,26,13,"13,26,40",1
82.99958333333333,40,26,13,"13,26,40",2
83.083,40,26,13,"13,26,40",3
83.16641666666666,40,26,13,"13,26,40",4
83.24983333333333,40,26,13,"13,26,40",5
83.33324999999999,40,26,13,"13,26,40",6
83.41666666666666,40,26,13,"13,26,40",7
83.50008333333332,40,26,13,"13,26,40",8
83.5835,40,26,13,"13,26,40",9
83.66691666666667,40,26,13,"13,26,40",10
83.75033333333333,40,26,13,"13,26,40",11
83.83375,40,26,13,"13,26,40",12
83.91716666666666,40,26,13,"13,26,40",13
84.00058333333332,40,26,13,"13,26,40",14
84.08399999999999,95,45,7,"7,45,95",1
84.16741666666665,132,67,11,"11,67,132",1
84.25083333333333,132,67,11,"11,67,132",2
84.33425,95,45,7,"7,45,95",1
84.41766666666666,132,67,11,"11,67,132",1
84.50108333333333,95,45,7,"7,45,95",1
84.58449999999999,95,45,7,"7,45,95",2
84.66791666666666,132,67,11,"11,67,132",1
84.75133333333332,132,67,11,"11,67,132",2
84.83475,95,45,7,"7,45,95",1
84.91816666666666,132,67,11,"11,67,132",1
85.00158333333333,60,43,9,"9,43,60",1
85.085,40,26,13,"13,26,40",1
85.16841666666666,40,26,13,"13,26,40",2
85.25183333333332,40,26,13,"13,26,40",3
85.33524999999999,194,213,164,"164,213,194",1
85.41866666666667,194,213,164,"164,213,194",2
85.50208333333333,217,241,208,"208,241,217",1
85.5855,217,241,208,"208,241,217",2
85.66891666666666,217,241,208,"208,241,217",3
85.75233333333333,217,241,208,"208,241,217",4
85.83574999999999,217,241,208,"208,241,217",5
85.91916666666665,0,0,0,"0,0,0",1
86.00258333333333,0,0,0,"0,0,0",2
86.086,0,0,0,"0,0,0",3
86.16941666666666,0,0,0,"0,0,0",4
86.25283333333333,0,0,0,"0,0,0",5
86.33624999999999,0,0,0,"0,0,0",6
86.41966666666666,0,0,0,"0,0,0",7
86.50308333333332,0,0,0,"0,0,0",8
86.5865,0,0,0,"0,0,0",9
86.66991666666667,0,0,0,"0,0,0",10
86.75333333333333,0,0,0,"0,0,0",11
86.83675,0,0,0,"0,0,0",12
86.92016666666666,0,0,0,"0,0,0",13
87.00358333333332,0,0,0,"0,0,0",14
87.08699999999999,0,0,0,"0,0,0",15
87.17041666666665,0,0,0,"0,0,0",16
87.25383333333333,0,0,0,"0,0,0",17
87.33725,0,0,0,"0,0,0",18
87.42066666666666,0,0,0,"0,0,0",19
87.50408333333333,0,0,0,"0,0,0",20
87.58749999999999,0,0,0,"0,0,0",21
87.67091666666666,0,0,0,"0,0,0",22
87.75433333333332,0,0,0,"0,0,0",23
87.83775,0,0,0,"0,0,0",24
87.92116666666666,95,144,182,"182,144,95",1
88.00458333333333,95,144,182,"182,144,95",2
88.088,95,144,182,"182,144,95",3
88.17141666666666,95,144,182,"182,144,95",4
88.25483333333332,95,144,182,"182,144,95",5
88.33824999999999,95,144,182,"182,144,95",6
88.42166666666667,95,144,182,"182,144,95",7
88.50508333333333,95,144,182,"182,144,95",8
88.5885,95,144,182,"182,144,95",9
88.67191666666666,95,144,182,"182,144,95",10
88.75533333333333,95,144,182,"182,144,95",11
88.83874999999999,94,139,173,"173,139,94",1
88.92216666666666,94,139,173,"173,139,94",2
89.00558333333333,94,139,173,"173,139,94",3
89.089,94,139,173,"173,139,94",4
89.17241666666666,94,139,173,"173,139,94",5
89.25583333333333,83,128,164,"164,128,83",1
89.33924999999999,83,128,164,"164,128,83",2
89.42266666666666,83,128,164,"164,128,83",3
89.50608333333332,83,128,164,"164,128,83",4
89.58949999999999,102,153,189,"189,153,102",1
89.67291666666667,102,153,189,"189,153,102",2
89.75633333333333,102,153,189,"189,153,102",3
89.83975,83,128,164,"164,128,83",1
